,ner_id,link,name,orcid,email,affiliation
42,60,/author/37086960815,Diwakar Shukla,,,"Department of Computer Science and Applications Sagar,MP,India"
43,62,/author/37086215123,Liu Qing,,," Design & Research Institute CO. LTD  Beijing, China"
44,63,/author/37086224703,Zhu Boyu,,," Information Center of CAAC  Beijing, China"
45,64,/author/37078516200,Li Qinqian,,," Design & Research Institute CO. LTD  Beijing, China"
46,66,/author/37088891282,Liu Hongqiu,,," Zaozhuang University  Zaozhuang, China"
47,68,/author/37889636800,Huang Xiaoyan,,," Ltd  Tianjin, China"
48,69,/author/37088504594,Jiang Rong,,,"Data Center State Grid Chongqing Electric Power Company Information Communication Branch, Chongqing, China"
49,70,/author/37530119600,Hu Xiaoming,,," Guilin University of Electronic Technology  Guilin, China"
50,71,/author/37088504525,Wang Luxiao,,,"Big Data Application Room Ecological Environment Big Data Application Center, Chongqing, China"
51,73,/author/37088482372,Huili Zhang,,," Shandong Management University  Jinan, China"
52,75,/author/37089240616,Osvaldo Gogliano Sobrinho,https://orcid.org/0000-0002-6381-3450,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
53,76,/author/37089237901,Liedi Ledi Mariani Bernucci,https://orcid.org/0000-0002-4768-0993,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
54,77,/author/37087743771,Pedro Luiz Pizzigatti Corrêa,,," University of São Paulo  São Paulo, Brazil"
55,78,/author/37089241156,Rosângela Dos Santos Motta,https://orcid.org/0000-0002-6005-8285,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
56,79,/author/37089240766,Jeaneth Machicao,https://orcid.org/0000-0002-1202-0194,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
57,80,/author/37089238190,Angelo Samuel Junqueira,https://orcid.org/0000-0003-2098-2980,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
58,81,/author/37089238707,Robson Correia da Costa,,," University of São Paulo  São Paulo, Brazil"
59,82,/author/37089237859,Wellingthon Dias De Queiroz,https://orcid.org/0000-0001-6876-3731,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
60,83,/author/37089240207,Thales Cesar Giriboni De Mello E. Silva,https://orcid.org/0000-0001-8411-8644,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
61,84,/author/37089237739,Pedro Lopes Ferraz,,," Research and Extension Group Polytechnic School  University of São Paulo, São Paulo, Brazil"
62,85,/author/37089239584,Luciano Cassaro,,,"EFVM Vale S. A., Vitoria, Brazil"
63,86,/author/37089240484,Luciano Oliveira,,,"EFVM Vale S. A., Vitoria, Brazil"
64,88,/author/37071893400,Pengcheng Zhang,https://orcid.org/0000-0003-3594-408X,," Hohai University  Nanjing, China"
65,89,/author/37086405223,Fang Xiong,,," Hohai University  Nanjing, China"
66,90,/author/37279696100,Jerry Gao,https://orcid.org/0000-0002-1051-5839,," San Jose State University  San Jose, United States"
67,91,/author/37089394463,Jimin Wang,,," Hohai University  Nanjing, China"
68,93,/author/37088436182,Kai Xiong,,," Business School of Jianghan University  Wuhan City, P.R.China"
69,95,/author/38240869800,Kyounghyun Park,,," ETRI  Daejeon, Korea"
70,96,/author/37085623412,Minh Chau Nguyen,,," Electronics and Telecommunication Research Institute  Daejeon, South Korea"
71,97,/author/37284843900,Heesun Won,,," Electronics and Telecommunication Research Institute  Daejeon, South Korea"
72,100,/author/37089901228,Xuerong Zuo,,," Hohai University  Nanjing, Jiangsu, China"
73,102,/author/37089326159,YinXue Huang,,," Hubei University of Technology  Wuhan, Hubei"
74,104,/author/37089778531,Mojtaba Hajian,,," University of Calabria  Rende, Italy"
75,105,/author/37088961840,Marshall D. Jackson,,," University of Manitoba  Winnipeg, MB, Canada"
76,107,/author/37088548868,Papoj Thamjaroenporn,,,"Government Big Data Institute, Bangkok, Thailand"
77,108,/author/37297117200,Tiranee Achalakul,,,"Government Big Data Institute, Bangkok, Thailand"
78,110,/author/37087748569,Liya Jin,,," Academy of Army Armored Force  Beijing, China"
79,111,/author/37088405704,Meng Xing,,," Army Academy of Armored Forces  Beijing, China"
80,112,/author/37088405907,Ronghui Wang,,," Academy of Army Armored Forces  Beijing, China"
81,114,/author/37085399272,Roberto Espinosa,,,"Universidad de La Frontera, Temuco, CL"
82,115,/author/37085383771,Larisa Garriga,,,"“Camilo Cienfuegos”, WaKe Research Universidad de Matanzas, Cuba"
83,116,/author/38111299700,José Jacobo Zubcoff,https://orcid.org/0000-0002-9469-7747,," University of Alicante  Alicante, Spain"
84,117,/author/37316559900,Jose-Norberto Mazón,https://orcid.org/0000-0001-7924-0880,,"University of Alicante, San Vicente del Raspeig, Spain"
85,119,/author/37088946269,Xin Jian,,," Guangxi Normal University  Guilin, China"
86,120,/author/37088947251,WeiZhang Lai,,," Guangxi Normal University  Guilin, China"
87,122,/author/37089327118,XinRui Wang,,," ANLI PARTNERS  Beijing, China"
88,123,/author/37089323274,Wei Luo,,," ANLI PARTNERS  Beijing, China"
89,124,/author/37089323025,XiaoLi Bai,,," ANLI PARTNERS  Beijing, China"
90,125,/author/37089325221,Yi Wang,,," Hangzhou Power Supply Company  Hangzhou, China"
91,127,/author/37088985493,Tung-lersloy Chasupa,,," Dhurakij Pundit University  Bangkok, Thailand"
92,128,/author/37395572800,Worapat Paireekreng,,," Dhurakij Pundit University  Bangkok, Thailand"
93,130,/author/37085718618,Roberto Tardío,https://orcid.org/0000-0002-7913-1534,,"Stratebi Business Solutions Ltd., Madrid, Spain"
94,131,/author/38029718400,Alejandro Mate,https://orcid.org/0000-0001-7770-3693,," Lucentia Research Group  University of Alicante, San Vicente del Raspeig, Alicante, Spain"
95,132,/author/37296870300,Juan Trujillo,https://orcid.org/0000-0002-1584-9459,,"Alicante Institute for Health and Biomedical Research (ISABIAL), Alicante, Spain;  Lucentia Research Group  University of Alicante, Sant Vicente del Raspeig, Alicante, Spain"
96,134,/author/37089240834,Xueqin Du,,," Shenzhen University  Shenzhen, China"
97,135,/author/37690088100,Yulin He,https://orcid.org/0000-0002-3415-0686,,"Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ), Shenzhen, China;  Shenzhen University  Shenzhen, China"
98,136,/author/37081979900,Joshua Zhexue Huang,https://orcid.org/0000-0002-6797-2571,," Shenzhen University  Shenzhen, China;  Shenzhen University  Shenzhen, China"
99,138,/author/37086811414,Sen Pan,,," LTD  Nanjing, Jiangsu, China"
100,139,/author/37089342361,Lipeng Zhu,,," Security of State Grid Smart Grid Research Institute Co.  LTD, Nanjing, Jiangsu, China"
101,140,/author/37087322190,Junfeng Qiao,,," LTD  Nanjing, Jiangsu, China"
102,142,/author/37088484811,Ruobing Yang,,,"Shanxi University of Finance and Economics, Taiyuan, China"
103,144,/author/37088489619,Ying Zeng,,,"Officers College of PAP, Chengdu, China"
104,146,/author/37596367500,Honghua Xu,,," Changchun University of Science and Technology Changchun  Jilin, China"
105,147,/author/38244364500,Ming Fang,,," Changchun University of Science and Technology  Changchun, China"
106,148,/author/37089055807,Li Li,,," Changchun  Jilin, China"
107,149,/author/37086216100,Ye Tian,,," Changchun  Jilin, China"
108,150,/author/37086219548,Yanfeng Li,,," hangchun University of Science and Technology  Changchun, China"
109,152,/author/37085646992,Yavuz Canbay,https://orcid.org/0000-0003-2316-7893,," Sutcu Imam University  Faculty of Engineering and Architecture, Kahramanmaraş, Türkiye"
110,153,/author/37086053256,Yilmaz Vural,,," University of California  Santa Barbara, USA"
111,154,/author/37371686200,Şeref Sağıroğlu,https://orcid.org/0000-0003-0805-5818,," Engineering Faculty  Gazi University, Ankara, Türkiye"
112,157,/author/37089367326,Fanjun Meng,,,"Academy of The National Territorial Planning, Heilongjiang, P. R. China"
113,158,/author/37089367143,Xuchun Liu,,,"Beijing University of Civil Engineering and Architecture, Beijing, China"
114,159,/author/37089367325,Fan-Rong Meng,,,"Information Center of Ministry of Natural Resources of P.R. China, Beijing, China"
115,160,/author/37089368049,Shaoguang Li,,,"Information Center of Ministry of Natural Resources, Beijing, China"
116,162,/author/37086846214,Imane El Alaoui,,," University of Ibn Tofail  Kenitra, Morocco"
117,163,/author/38274833800,Youssef Gahi,https://orcid.org/0000-0001-8010-9206,," Ibn Tofail University  Kenitra, Morocco"
118,164,/author/37085451260,Rochdi Messoussi,,," Traitement de l’information  Mécanique et Energétique, Département de Physique, Faculté des Sciences, Université Ibn Tofail, Kénitra, Morocco"
119,166,/author/37085769315,Yan Chen,,," Jiangsu Academy of Safety Science and Technology  Nanjing, China"
120,167,/author/37085774859,Xin Li,,," ltd  Nanjing, China"
121,169,/author/37087681574,Guijuan Song,,,"Dalian Neusoft Inst. of Inf., Dalian, China"
122,170,/author/37089402723,Yandong Wen,,,"Dalian Neusoft Inst. of Inf., Dalian, China"
123,171,/author/37087681162,Yue Jia,,,"Dalian Neusoft Inst. of Inf., Dalian, China"
124,172,/author/37087683101,Hongbo Liu,,,"Dalian Neusoft Inst. of Inf., Dalian, China"
125,174,/author/37088198573,Vipul Gupta,,," Structural Materials  Niskayuna, NY, USA"
126,175,/author/37088198088,Laura Dial,,," Structural Materials  Niskayuna, NY, USA"
127,176,/author/37087277617,Tim Hanlon,,," Structural Materials  Niskayuna, NY, USA"
128,177,/author/37088200209,Justin Gambone,,," Additive Technologies  Niskayuna, NY, USA"
129,178,/author/37088198348,Joseph Vinciquerra,,," Additive Technologies  Niskayuna, NY, USA"
130,180,/author/37085461106,Daniel Tse,,,"Department of Information Systems, City University of Hong Kong, Hong Kong"
131,181,/author/37087399106,Chung-kin Chow,,," City Univ. of Hong Kong  Hong Kong, China"
132,182,/author/37086461864,Ting-pong Ly,,,"Department of Information Systems, City University of Hong Kong, Hong Kong"
133,183,/author/37087399317,Chung-yan Tong,,," City Univ. of Hong Kong  Hong Kong, China"
134,184,/author/37087399303,Kwok-wah Tam,,," City Univ. of Hong Kong  Hong Kong, China"
135,186,/author/37085577929,Ritu Chauhan,,," Amity University  UP, India"
136,187,/author/37085807184,Rajesh Jangade,,,"Amity University, Noida, India"
137,189,/author/37088597273,Chun-Li Wang,,," Northwest Minzu University  Lanzhou, China"
138,191,/author/38252269500,Liang Lixin,,," Shenzhen Technology University  Shenzhen, China"
139,192,/author/37088431336,Lin Lin,,," Shenzhen Technology University  Shenzhen, China"
140,194,/author/37079204800,Mohammad H. Nadimi-Shahraki,,," Big Data Research Center Najafabad Branch  Islamic Azad University, Najafabad, Iran"
141,195,/author/37086229230,Mehdi Mansouri,,," Najafabad branch  Islamic Azad University, Najafabad, Isfahan, Iran"
142,197,/author/37086326469,Alka Londhe,,," PCCOE  Pune, India"
143,198,/author/37087785614,Pvrd Prasada Rao,,," Vaddeswaram  AP, India"
144,201,/author/37087225514,Liling Li,,," Foshan Polytechnic  Foshan, China"
145,203,/author/37086397288,Tian Hongxun,,,"State Grid Corporation of China, Beijing, China"
146,204,/author/37589953200,Wang Honggang,,,"Big Data Center of State Grid Corporation of China, Beijing, China"
147,205,/author/37089444437,Zhou Kun,,,"State Grid Anhui Electric Power Co. Ltd, Hefei, China"
148,206,/author/37086395526,Shi Mingtai,,," Ltd.  Beijing, China"
149,207,/author/37086157544,Li Haosong,,," Ltd.  Beijing, China"
150,208,/author/37086395295,Xu Zhongping,,," Ltd.  Beijing, China"
151,209,/author/37393435200,Kang Taifeng,,,"Beijing State Grid Xintong Accenture Information Technology Co. Ltd, Beijing, China"
152,210,/author/37086150394,Li Jin,,," Ltd.  Beijing, China"
153,211,/author/37086397617,Cai Yaqi,,,"Beijing State Grid Xintong Accenture Information Technology Co. Ltd, Beijing, China"
154,213,/author/38096745800,Salman Salloum,https://orcid.org/0000-0002-6750-003X,," College of Computer Science and Software Engineering  Shenzhen University, Shenzhen, China"
155,215,/author/37085805351,Jinhua Chen,,," Sichuan Normal University  Chengdu, China"
156,216,/author/37085805103,Jing Tang,,," Sichuan Normal University  Chengdu, China"
157,217,/author/37085809612,Qin Jiang,,," Sichuan Normal University  Chengdu, China"
158,218,/author/37085806032,Yuxin Wang,,," Harbin Institute of Technology  Harbin, China"
159,219,/author/37086244329,Chunmei Tao,,," Sichuan Normal University  Chengdu, China"
160,220,/author/37087464680,Xu Zhang,,," Sichuan Normal University  Chengdu, China"
161,221,/author/37087463635,Jingya Liao,,," Sichuan Normal University  Chengdu, China"
162,223,/author/37085643034,Li-Ping Yang,,," Huazhong Agricultural University  Wuhan, China Hubei Engineering Technology, Research Center of Agricultural, Big Data, Wuhan, China"
163,224,/author/37086563400,Fang Zheng,,," Huazhong Agricultural University  Wuhan, China"
164,225,/author/37087010582,Li Qin,,," Huazhong Agricultural University  Wuhan Hubei, China"
165,227,/author/37086256958,Xiao HongJu,,," Army Officer Academy  Hefei, China"
166,228,/author/37086258373,Wang Fei,,," Army Officer Academy  Hefei, China"
167,229,/author/37086255687,Wang FenMei,,," Army Officer Academy  Hefei, China"
168,230,/author/37885792400,Wang Xiuzhen,,,"Ltd  Shanghai, China"
169,233,/author/37088901961,Xiaolan Yu,,," Sichuan University  Chengdu, china"
170,235,/author/37089701091,Haochen Zou,,," Concordia University  Montreal, Quebec, Canada"
171,236,/author/37089416552,Kun Xiang,,," Hosei University  Tokyo, Japan"
172,238,/author/37280017400,Chao Wang,https://orcid.org/0000-0003-4887-923X,,"; International Research Center of Big Data for Sustainable Development Goals, Beijing, China;  Aerospace Information Research Institute  Chinese Academy of Sciences, Beijing, China"
173,239,/author/37403087700,Yixian Tang,https://orcid.org/0000-0002-9847-898X,,"; International Research Center of Big Data for Sustainable Development Goals, Beijing, China;  Aerospace Information Research Institute  Chinese Academy of Sciences, Beijing, China"
174,240,/author/37280789800,Hong Zhang,https://orcid.org/0000-0002-0088-8148,,"; International Research Center of Big Data for Sustainable Development Goals, Beijing, China;  Aerospace Information Research Institute  Chinese Academy of Sciences, Beijing, China"
175,241,/author/37405133200,Bo Zhang,https://orcid.org/0000-0002-3325-933X,," Electrical  and Communication Engineering, University of Chinese Academy of Sciences, Beijing, China;  Chinese Academy of Sciences  Beijing, China"
176,242,/author/37398797400,Fan Wu,https://orcid.org/0000-0002-9280-8378,,"; International Research Center of Big Data for Sustainable Development Goals, Beijing, China;  Aerospace Information Research Institute  Chinese Academy of Sciences, Beijing, China"
177,243,/author/37086230116,Lu Xu,,,"; International Research Center of Big Data for Sustainable Development Goals, Beijing, China;  Aerospace Information Research Institute  Chinese Academy of Sciences, Beijing, China"
178,246,/author/37086230081,Xiaotao Huang,,," Huazhong University of Science and Technology  Wuhan, China"
179,247,/author/37086251368,Niannian Qin,,," Huazhong University of Science and Technology  Wuhan, China"
180,248,/author/37405047200,Xiaofang Zhang,,," Huazhong University of Science and Technology  Wuhan, China"
181,249,/author/37086224982,Fen Wang,,," Huazhong University of Science and Technology  Wuhan, China"
182,251,/author/37088492716,Hang Gao,,," Shandong University of Political Science and Law  Jinan, China"
183,253,/author/37086121840,Priyanka Kale,,,"College of Business and Economics, California State University-Los Angeles, Los Angeles"
184,254,/author/37086121409,Shilpa Balan,,,"Department of Information Systems, California State University, Los Angeles"
185,256,/author/37088976904,Hong Li,,,"Guangdong Peizheng College, Guangzhou, China"
186,258,/author/37086835304,Tamer Z. Emara,https://orcid.org/0000-0001-6730-9449,,";  Big Data Institute  Shenzhen University, Shenzhen, China;  Shenzhen University  Shenzhen, China"
187,260,/author/38194824900,Jianguo Tang,https://orcid.org/0000-0001-6540-4039,," Chongqing College of Electronic Engineering  Chongqing, China"
188,261,/author/37086931428,Jianghua Wang,,," Chongqing College of Electronic Engineering  Chongqing, China"
189,262,/author/37086931292,Chunlin Wu,,," Chongqing College of electronic engineering  Chongqing, China"
190,264,/author/37088846624,Jun Yin,,," State Grid Xinjiang Electric Power Co.  Ltd., Urumqi, China"
191,265,/author/37088846584,Jianye Zhang,,," State Grid Xinjiang Power Co. Ltd.  Urumqi, China"
192,266,/author/37088846138,Degao Li,,,"LTD  Information and Telecommunication Company, Urumqi, China"
193,267,/author/37089937661,Tianjun Wang,,," Ltd.  Urumqi, China"
194,268,/author/37668929900,Kang Jing,,," State Grid Xinjiang Power Co. Ltd.  Urumqi, China"
195,270,/author/37087042832,Ashish Juneja,,," Manav Rachna International Institute of Research and Studies  Faridabad, India"
196,271,/author/37087039396,Nripendra Narayan Das,,," Manipal University Jaipur  Jaipur, Rajasthan"
197,274,/author/37086226495,Yaojun Wang,,,"College of Information and Electrical Engineering, China Agricultural University"
198,275,/author/37088410782,Yang yang Li,,," Beijing University of Technology  Beijing, China"
199,276,/author/37088411347,Jingyan Sui,,,"University of Chinese Academy of Sciences, Beijing, China;  Institute of Computing Technology  Chinese Academy of Sciences, Beijing, China"
200,277,/author/37089921057,Yang Gao,,," Beijing University of Technology  Beijing, China"
201,279,/author/37086108490,Adiska Fardani Haryadi,,," Policy  and Management, Delft University of Technology, Delft, The Netherlands"
202,280,/author/37284842900,Joris Hulstijn,,," Tilburg University  Tilburg, The Netherlands"
203,281,/author/37086107712,Agung Wahyudi,,," Policy  and Management, Delft University of Technology, Delft, The Netherlands"
204,282,/author/37948597100,Haiko van der Voort,,," Policy  and Management, Delft University of Technology, Delft, The Netherlands"
205,283,/author/37391201200,Marijn Janssen,https://orcid.org/0000-0001-6211-8790,," Delft University of Technology  Delft, Nethderlands"
206,285,/author/37085646887,Jeff Saltz,,," Syracuse University  Syracuse, United States"
207,287,/author/37086603588,Ryan Norman,,," Test Resource Management Center (TRMC)  Alexandria, VA"
208,288,/author/37086602271,Jason Bolin,,," Test Resource Management Center (TRMC)  Alexandria, VA"
209,289,/author/37086604138,Edward T. Powell,,," Test Resource Management Center (TRMC)  Alexandria, VA"
210,290,/author/37086600752,Sanket Amin,,," Naval Air Systems Command (NAVAIR)  Arlington, VA"
211,291,/author/37086599380,John Nacker,,," Naval Air Systems Command (NAVAIR)  Arlington, VA"
212,293,/author/37085999978,Xing Zhai,,," Beijing University of Chinese Medicine  Beijing, China"
213,294,/author/37086548515,Junnan Liu,,," Henan University  Kaifeng, China"
214,295,/author/37086548611,Aiqing Han,,," Beijing University of Chinese Medicine  Beijing, China"
215,296,/author/37085762298,Shuang Ding,https://orcid.org/0000-0002-1952-5152,," Kaifeng  Henan, China"
216,297,/author/37086001781,Youliang Huang,,," Beijing University of Chinese Medicine  Beijing, China"
217,298,/author/37086548643,Peng Yin,,," Henan University  Kaifeng, Henan, China"
218,299,/author/37086548895,Min Wang,,," Kaifeng  Henan, China"
219,301,/author/37706458000,Ranjeet Devarakonda,,," Environmental Sciences Division  Oak Ridge National Laboratory, Oak Ridge, TN, USA"
220,302,/author/37086029540,Giri Prakash,,,"Environmental Sciences Division Oak Ridge,Tennessee,USA"
221,303,/author/37086603456,Kavya Guntupally,,," Environmental Sciences Division  Oak Ridge National Laboratory, Oak Ridge, TN, USA"
222,304,/author/37605956600,Jitendra Kumar,https://orcid.org/0000-0002-0159-0546,," Bhagalpur University  Bhagalpur, India"
223,306,/author/37089743911,Fengwei Zou,,,"Harbin Guangsha University, Harbin, China"
224,308,/author/37089643052,Xiaoying Chen,,,"Guangzhou City University of Technology, Guangzhou, China"
225,310,/author/37086365392,Yueyun Liu,,," Tunxi  Anhui, China"
226,313,/author/37086026776,Lixiao Zhou,,," Chinese Academy of Sciences  Beijing, China"
227,314,/author/37085586292,Maohai Huang,,," Chinese Academy of Sciences  Beijing, China"
228,316,/author/37085883519,Mianzhen Pan,,," Zhejiang Gongshang University  Hangzhou, China"
229,317,/author/37089936304,Haili Yan,,," Zhejiang Gongshang University  Hangzhou, China"
230,318,/author/37089936490,Zetong Zhang,,," Zhejiang Gongshang University  Hangzhou, China"
231,319,/author/37089935890,Kexin Chen,,," Zhejiang Gongshang University  Hangzhou, China"
232,321,/author/37086947257,Hongling Liu,,,"Guangzhou Nanyang Polytechnic, Guangzhou, China"
233,323,/author/37086293202,Chengzhao Zhang,,," Chengdu Polytechnic  Chengdu, PR China"
234,324,/author/37086286736,Heping Pan,,," Institute of Advanced Study and School of Business  Chengdu University, Chengdu, China"
235,326,/author/37088877551,Xiaoqi Cong,,," Shandong Technician College of Water Conservancy  Zibo, China"
236,328,/author/37086849856,Yong Hu,,," Director of Chongqing Artificial Intelligence Association  Chongqing, China"
237,330,/author/37088873838,Changning Liu,,,"Shenyang Ligong University, Liaoning, China"
238,331,/author/37088871478,Kecen Liu,,,"Sichuan Agricultural University, Sichuan, China"
239,332,/author/37088874822,Jiayi Ma,,,"Shanghai University of Finance and Economics, Shanghai, China"
240,334,/author/37088895607,Ying Zheng,,,"Shandong Vocational College of Science and Technology, Weifang, China"
241,336,/author/37272446700,Siti Mariyam Shamsuddin,,," UTM  Johor Bahru, Malaysia"
242,337,/author/37977301200,Shafaatunnur Hasan,,," Universiti Teknologi Malaysia  Johor, Malaysia"
243,339,/author/37085379007,Sourav Mazumdar,,," San Jose  CA, USA"
244,340,/author/37841878100,Subhankar Dhar,https://orcid.org/0000-0003-1493-451X,,"San José State University, San Jose, USA"
245,342,/author/37085414187,Chieh-Hsin Liao,,," Chunghwa Telecom Laboratories  Taoyuan, Taiwan"
246,343,/author/37085407527,Yu-Heng Lei,,," Chunghwa Telecom Laboratories  Taoyuan, Taiwan"
247,344,/author/37085420563,Kai-Yu Liou,,," Chunghwa Telecom Laboratories  Taoyuan, Taiwan"
248,345,/author/37085415308,Jian-Shing Lin,,," Chunghwa Telecom Laboratories  Taoyuan, Taiwan"
249,346,/author/37085409371,Hsiao-Feng Yeh,,," Chunghwa Telecom Laboratories  Taoyuan, Taiwan"
250,348,/author/37087141428,Rodrigo Laigner,,," University of Copenhagen  Copenhagen, Denmark"
251,350,/author/750475692634571,Tao Zhang,,,"Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China"
252,351,/author/889773535263213,Hao Liu,,,"Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China"
253,352,/author/37090087541,Chenxi Yu,,," Peking University  Beijing, China"
254,353,/author/37089474398,Peng Wang,,,"Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China"
255,355,/author/37089325729,TaoLin Zhou,,," Beijing Jiaotong University  Beijing, China"
256,357,/author/37088896395,Jianxun Shao,,," Guangdong Ocean University  Zhanjiang, China"
257,358,/author/37088892877,Wenhao Liu,,," Wuhan University of Technology  Wuhan, China"
258,360,/author/37089787889,Zhengxiong Mao,,," Ltd  Kunming, China"
259,361,/author/37089853528,Hui Li,,," Ltd  Kunming, China"
260,362,/author/37089782983,Zuyuan Huang,,,"Network Information Center of Yunnan State Grid Company, Kunming, China"
261,363,/author/37089787893,Yuan Tian,,," Ltd  Kunming, China"
262,364,/author/37089785767,Xiaoping Zhao,,," Qiangdao University  Qingdao, China"
263,365,/author/37090019229,Hang Zhang,,," Ltd  Kunming, China"
264,367,/author/37853397900,Jian Yin,,,Pacific Northwest National Laboratory
265,368,/author/37072460200,Dongfang Zhao,https://orcid.org/0000-0002-0677-634X,,"University of Washington, United States"
266,370,/author/37089304938,Kai Liu,,," Gongqingcheng  Jiangxi, China"
267,372,/author/37086310772,Donghui Wu,,," Dallas  TX, USA"
268,374,/author/37088848032,Tian Fupeng,,,"Information Construction and Service Center Northwest Mizu University, Lanzhou, China"
269,376,/author/37086255831,P. Gonzalez-Alonso,,," Open University of Catalonia  Barcelona, Spain"
270,377,/author/37086259987,R. Vilar,,," Open University of Catalonia  Barcelona, Spain"
271,378,/author/37086253004,F. Lupiañez-Villanueva,,," Open University of Catalonia  Barcelona, Spain"
272,380,/author/37088484898,Song Ziang,,,"Yunnan Technology and Business University, Kunming, China"
273,381,/author/37088481383,Baohua Li,,,"Yunnan Technology and Business University, Kunming, China"
274,383,/author/37086598068,Thuan L. Nguyen,,," The University of North Texas  Denton, Texas, USA"
275,385,/author/37285284200,Yuri Demchenko,,," University of Amsterdam  Amsterdam, The Netherlands"
276,386,/author/37299822500,Cees De Laat,,,"University of Amsterdam, Amsterdam, Netherlands"
